"Country","Source_S","Dest_S","IO_Coeff"
"Argentina","Agriculture","Agriculture",28.34494
"Argentina","Mining","Agriculture",0.45183
"Argentina","Food","Agriculture",15.40167
"Argentina","Textile","Agriculture",0.64156
"Argentina","Wood","Agriculture",0.38732
"Argentina","Paper","Agriculture",0.7941
"Argentina","Petroleum","Agriculture",2.96246
"Argentina","Chemicals","Agriculture",9.91619
"Argentina","Plastic","Agriculture",0.847
"Argentina","Minerals","Agriculture",0.46833
"Argentina","Basic metals","Agriculture",0.21697
"Argentina","Metal products","Agriculture",1.12116
"Argentina","Machinery n.e.c","Agriculture",2.10133
"Argentina","Office","Agriculture",0.08667
"Argentina","Electrical","Agriculture",0.22877
"Argentina","Communication","Agriculture",0.0613
"Argentina","Medical","Agriculture",0.06157
"Argentina","Auto","Agriculture",0.32435
"Argentina","Other Transport","Agriculture",0.50665
"Argentina","Other","Agriculture",0.27733
"Argentina","Electricity","Agriculture",2.72178
"Argentina","Construction","Agriculture",1.61357
"Argentina","Retail","Agriculture",13.97342
"Argentina","Hotels","Agriculture",0.36075
"Argentina","Land Transport","Agriculture",2.67967
"Argentina","Water Transport","Agriculture",0.20642
"Argentina","Air Transport","Agriculture",0.18653
"Argentina","Aux Transport","Agriculture",0.63573
"Argentina","Post","Agriculture",0.62383
"Argentina","Finance","Agriculture",5.72288
"Argentina","Real State","Agriculture",0.72567
"Argentina","Renting Mach","Agriculture",0.71928
"Argentina","Computer","Agriculture",0.14304
"Argentina","R&D","Agriculture",0.07177
"Argentina","Other Business","Agriculture",2.11073
"Argentina","Public","Agriculture",0.47353
"Argentina","Education","Agriculture",0.09329
"Argentina","Health","Agriculture",0.99204
"Argentina","Other services","Agriculture",0.74277
"Argentina","Private","Agriculture",0.00179
"Australia","Agriculture","Agriculture",24.45101
"Australia","Mining","Agriculture",0.28981
"Australia","Food","Agriculture",7.42639
"Australia","Textile","Agriculture",0.35864
"Australia","Wood","Agriculture",0.17963
"Australia","Paper","Agriculture",0.75335
"Australia","Petroleum","Agriculture",1.98153
"Australia","Chemicals","Agriculture",10.11724
"Australia","Plastic","Agriculture",0.50844
"Australia","Minerals","Agriculture",0.14433
"Australia","Basic metals","Agriculture",0.11059
"Australia","Metal products","Agriculture",0.84754
"Australia","Machinery n.e.c","Agriculture",1.93222
"Australia","Office","Agriculture",0.05552
"Australia","Electrical","Agriculture",0.6402
"Australia","Communication","Agriculture",0.00958
"Australia","Medical","Agriculture",0.05724
"Australia","Auto","Agriculture",0.41601
"Australia","Other Transport","Agriculture",0.16208
"Australia","Other","Agriculture",0.25023
"Australia","Electricity","Agriculture",1.89773
"Australia","Construction","Agriculture",2.3454
"Australia","Retail","Agriculture",21.82639
"Australia","Hotels","Agriculture",1.6511
"Australia","Land Transport","Agriculture",5.70933
"Australia","Water Transport","Agriculture",0.15649
"Australia","Air Transport","Agriculture",0.46883
"Australia","Aux Transport","Agriculture",1.46058
"Australia","Post","Agriculture",2.03661
"Australia","Finance","Agriculture",5.10513
"Australia","Real State","Agriculture",0.91803
"Australia","Renting Mach","Agriculture",1.09254
"Australia","Computer","Agriculture",0.26192
"Australia","R&D","Agriculture",0.0352
"Australia","Other Business","Agriculture",3.22236
"Australia","Public","Agriculture",0.41095
"Australia","Education","Agriculture",0.072
"Australia","Health","Agriculture",0.43455
"Australia","Other services","Agriculture",0.20285
"Australia","Private","Agriculture",0.000423
"Austria","Agriculture","Agriculture",10.85227
"Austria","Mining","Agriculture",0.29635
"Austria","Food","Agriculture",16.98963
"Austria","Textile","Agriculture",0.60439
"Austria","Wood","Agriculture",0.87294
"Austria","Paper","Agriculture",0.70553
"Austria","Petroleum","Agriculture",3.48792
"Austria","Chemicals","Agriculture",9.8744
"Austria","Plastic","Agriculture",1.16395
"Austria","Minerals","Agriculture",1.19756
"Austria","Basic metals","Agriculture",0.36029
"Austria","Metal products","Agriculture",2.73144
"Austria","Machinery n.e.c","Agriculture",4.77373
"Austria","Office","Agriculture",0.01063
"Austria","Electrical","Agriculture",0.60115
"Austria","Communication","Agriculture",0.24757
"Austria","Medical","Agriculture",0.06376
"Austria","Auto","Agriculture",0.31777
"Austria","Other Transport","Agriculture",0.04316
"Austria","Other","Agriculture",0.24194
"Austria","Electricity","Agriculture",3.74809
"Austria","Construction","Agriculture",1.17556
"Austria","Retail","Agriculture",18.10541
"Austria","Hotels","Agriculture",0.27455
"Austria","Land Transport","Agriculture",0.71613
"Austria","Water Transport","Agriculture",0.01049
"Austria","Air Transport","Agriculture",0.12685
"Austria","Aux Transport","Agriculture",0.12482
"Austria","Post","Agriculture",1.18265
"Austria","Finance","Agriculture",12.41567
"Austria","Real State","Agriculture",0.30835
"Austria","Renting Mach","Agriculture",1.03767
"Austria","Computer","Agriculture",0.14913
"Austria","R&D","Agriculture",0.05895
"Austria","Other Business","Agriculture",0.4139
"Austria","Public","Agriculture",0.15155
"Austria","Education","Agriculture",0.11643
"Austria","Health","Agriculture",4.17946
"Austria","Other services","Agriculture",0.26792
"Austria","Private","Agriculture",8.97e-06
"Brazil","Agriculture","Agriculture",25.51161
"Brazil","Mining","Agriculture",1.38194
"Brazil","Food","Agriculture",15.22214
"Brazil","Textile","Agriculture",0.6447
"Brazil","Wood","Agriculture",0.53819
"Brazil","Paper","Agriculture",0.08253
"Brazil","Petroleum","Agriculture",4.14424
"Brazil","Chemicals","Agriculture",22.11996
"Brazil","Plastic","Agriculture",1.12793
"Brazil","Minerals","Agriculture",0.28491
"Brazil","Basic metals","Agriculture",0.0539
"Brazil","Metal products","Agriculture",0.98529
"Brazil","Machinery n.e.c","Agriculture",0.06071
"Brazil","Office","Agriculture",0.00318
"Brazil","Electrical","Agriculture",0.04351
"Brazil","Communication","Agriculture",0.0175
"Brazil","Medical","Agriculture",0.09617
"Brazil","Auto","Agriculture",0.0936
"Brazil","Other Transport","Agriculture",0.02181
"Brazil","Other","Agriculture",0.11594
"Brazil","Electricity","Agriculture",1.55876
"Brazil","Construction","Agriculture",0.00377
"Brazil","Retail","Agriculture",13.98081
"Brazil","Hotels","Agriculture",0.01897
"Brazil","Land Transport","Agriculture",1.42994
"Brazil","Water Transport","Agriculture",0.12341
"Brazil","Air Transport","Agriculture",0.18409
"Brazil","Aux Transport","Agriculture",0.64562
"Brazil","Post","Agriculture",0.49471
"Brazil","Finance","Agriculture",3.23178
"Brazil","Real State","Agriculture",0.10838
"Brazil","Renting Mach","Agriculture",0.78833
"Brazil","Computer","Agriculture",0.18899
"Brazil","R&D","Agriculture",0.0254
"Brazil","Other Business","Agriculture",2.32513
"Brazil","Public","Agriculture",0.17142
"Brazil","Education","Agriculture",0.00366
"Brazil","Health","Agriculture",0.05494
"Brazil","Other services","Agriculture",2.11214
"Brazil","Private","Agriculture",1.48e-05
"Canada","Agriculture","Agriculture",36.81011
"Canada","Mining","Agriculture",0.6593
"Canada","Food","Agriculture",8.53071
"Canada","Textile","Agriculture",0.5567
"Canada","Wood","Agriculture",0.2245
