"Sector","Source_C","Dest_C","Tariffs1993","Trade_Vol"
"Wood","Argentina","Indonesia",30,0
"Wood","Australia","Indonesia",22.61,1.243621
"Wood","Austria","Indonesia",20,0.008923
"Wood","Brazil","Indonesia",20,0.010097
"Wood","Canada","Indonesia",19.42,0.160925
"Wood","Chile","Indonesia",12.51,0
"Wood","China","Indonesia",23.89,2.020409
"Wood","Denmark","Indonesia",27.19,0.091932
"Wood","Finland","Indonesia",30,0.001028
"Wood","France","Indonesia",25.86,0.0055
"Wood","Germany","Indonesia",22.59,1.04946
"Wood","Greece","Indonesia",12.51,0
"Wood","Hungary","Indonesia",12.51,0
"Wood","India","Indonesia",7.38000000000001,0.037967
"Wood","Indonesia","Indonesia",0,10.6823649999997
"Wood","Ireland","Indonesia",12.51,0
"Wood","Italy","Indonesia",29.84,0.64029
"Wood","Japan","Indonesia",25.59,12.72397
"Wood","Korea","Indonesia",20.1,0.246218
"Wood","Mexico","Indonesia",30,0
"Wood","Netherlands","Indonesia",20.08,0.055712
"Wood","New Zealand","Indonesia",19.05,1.022896
"Wood","Norway","Indonesia",20.18,0.060404
"Wood","Portugal","Indonesia",7.60000000000001,0.208663
"Wood","SouthAfrica","Indonesia",12.51,0
"Wood","Spain","Indonesia",24.43,0.035073
"Wood","Sweden","Indonesia",20.13,0.063156
"Wood","Turkey","Indonesia",12.51,0
"Wood","UK","Indonesia",16.46,0.048769
"Wood","USA","Indonesia",18.88,5.361178
"Wood","Remaining World","Indonesia",24.87,8.011868
